left angle,right angle
177.27341929441985,117.9859816474763
172.92975966610277,116.83723893311411
172.48081272086452,116.15624270135588
174.9048262952643,116.07319642668214
172.6153196461724,115.82910904060279
174.3253871362167,115.26694402741145
171.84331730376422,114.91779947934616
170.2765328527246,115.02572755994733
169.74019415414503,115.25643691822414
170.14978210929706,115.67516508290629
169.50540372883881,115.98211686371914
169.64109793930382,116.2706593586882
169.94611330106878,116.65723601315139
170.34278255714597,116.80846501521765
170.1539573741008,116.89931458791273
171.3736056491914,116.88007704010232
171.75551714707927,115.7875445430928
172.6639312194889,114.97565368334436
172.5384516829468,114.36542128288208
172.1217972799462,114.56859550798056
178.4141611299814,114.64523712850439
176.12459155033534,114.62221838636316
173.0547796518231,114.4864599205777
172.26141536639864,113.9176920684245
172.95623223626916,113.63013548949274
172.772279513116,113.50100691350605
172.91153351284774,113.46164302240071
172.24786603549296,113.28465616712197
168.51014264842945,113.11217578796574
167.92237357405483,113.4340690817087
166.61180738411522,113.29865035835499
165.62365889686063,112.7054012980671
165.20323937561471,112.31614392246262
162.5521311549724,111.76453593121981
161.77642067850124,111.60160289744492
161.69287124432063,111.54828788572466
162.14543589132913,111.57121487889424
164.79862373004653,111.66317006884526
169.04138848778754,111.80533711920225
170.28940383549192,111.89493669488527
170.79212122283676,112.12746051747537
172.7781681982997,112.31374720977024
175.54751337933712,112.39646684106049
175.55164523777626,112.53857761783198
176.5492649196315,112.65185490945659
176.61953578760495,112.66541828428433
176.44152855962503,112.52917188021075
179.18342574305885,112.53355906982009
175.73283006354671,112.31647783421549
176.70239305998916,112.27162652434716
179.79483676548008,112.19749473923981
179.4017022038752,112.18488643059561
177.3441933006004,112.19184705954181
173.96931292422343,111.843673523896
169.38043524201802,110.19345205108861
168.53531679517826,108.65944979378634
165.54597961396422,107.12360562376459
151.40402966452604,106.3193501143812
146.04360265581664,104.97725354585239
145.1182155898376,104.81655341948942
147.4508875929042,103.85050294136512
148.82000872598954,102.77182562018241
163.88538787868035,104.00227764607142
165.7500352016152,104.49135839585881
164.0457456775933,105.17847694964813
162.77568636101742,105.64305216948289
163.8426205178787,106.34441809961658
164.19389081603234,107.40734314140889
164.43500638551123,107.77832441752652
163.63312194213796,107.70045506065793
162.0933367259606,106.78645215573272
159.14567819681128,105.33863326908481
156.8429687442165,104.85332607609237
155.7565064453272,104.49737757256422
161.22563899505815,104.7179696497824
159.29966142527354,104.32756518808326
152.42632279653702,104.60069422508462
150.21496556465786,103.76020797908842
147.2794443522801,102.89429941472751
148.69062042069146,101.91358887241695
149.57703093699652,101.59162636464187
149.96760738897945,101.48574029106788
150.12560263456268,101.44166519863496
150.16220648697177,101.48055859453231
150.43389076976004,101.41970055728663
151.1167131284272,101.23518239896764
151.67754766054227,101.12316319893749
152.43611197699164,101.0839571449004
149.98111221619402,101.08983393720986
149.69202957893097,101.13541954300118
149.34118244917704,101.242295045395
