left angle,right angle
160.55255792446678,103.01168884890669
153.3658615629267,105.62640284553906
153.6271853291275,106.627057759892
152.74290538614017,107.887354318223
147.83270383925137,108.58602485222977
146.272015040833,109.27188370993836
142.05753564435608,109.43502315132109
145.17019179624793,109.37715088046141
147.73357841509926,109.08463995809258
153.5128554204889,108.79583610450402
152.5605750230723,108.82436428938107
154.345431208793,108.7351582660124
161.3357384931085,108.3275181697165
160.26546491283534,108.1906646604847
159.79034529755833,107.62860471141408
160.05064308493627,106.91605981701727
159.9894234177327,106.5179189695843
159.66288633109318,106.02397396874544
156.96307930630635,106.16822240826845
154.61102734550713,106.26841099328281
153.99176187303075,106.27861327652481
152.18853926431586,106.1438496903051
148.2891604722447,106.06753592415787
152.69352075724422,106.0039482147372
159.84484876273504,105.32419732586946
163.03506060867446,104.73511702601672
164.9228746981198,104.44807449256103
166.49075862663804,104.07302477211567
167.4972798526169,103.89101029352625
166.3713987547299,103.84404496250446
166.35736121421192,103.86337875586834
153.11747643983796,104.08396789312815
152.94170062055196,104.63033695015541
150.16813740274145,104.97308954693544
149.7283821835819,105.25388386293467
151.08261407607512,105.46839812784032
148.46222162263638,105.86953734401835
159.02897366557022,105.88376735164047
164.25151381433176,105.58684711251502
165.35452953489303,105.47013651786622
166.27226502310472,105.42671301791785
168.31139096154095,105.21815427037812
167.2152178269608,105.25991662504534
166.1908923635661,105.29880745378166
165.86646926430703,105.27999879079779
165.29166824152637,105.30090608600027
164.07529563412206,105.3401573745186
164.3296143676652,105.22813569885453
164.48261409494538,105.2549554310257
159.7188053398339,105.43527447672098
159.48736481051353,105.5216694181962
157.74684736441648,105.55533214167154
158.2628726981837,105.33511709301776
159.46169006934187,105.18926335027027
160.25096119879765,105.11765840448689
161.19218427989924,105.16194447229955
159.85529817420132,105.17499378590084
157.51432189065136,105.5558902090773
158.31352439850494,106.52498629777317
159.64148950719883,107.20123402012527
161.03202997622043,109.17912627594181
164.93432157057805,109.58866616346052
166.12410473104325,109.27282169648855
166.1435263523841,109.83469746950672
164.80341481431125,111.307929494555
162.1048340011525,113.75309860214476
160.54981469018247,115.17063288460832
158.6239266296904,116.31958994883978
153.31025638178576,117.71329971900423
155.06099745549616,117.04134748054835
158.5905749874106,116.68256001520126
171.30773038274734,115.9530070990403
168.78972966278585,116.10991117520975
167.86681834223117,115.91133161604546
166.99128034846015,115.99913808271619
165.5476500052307,116.05644769056836
157.772112862457,115.8564113434515
